,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
5104,tt2150394,China,,,,,95 min
5105,tt2150760,Kuwait,,,,,
5106,tt2151529,USA,,,,,54 min
5107,tt2152779,France,,,,"$1,541,144",
5108,tt2154689,India,,,,,
5109,tt2156410,Indonesia,,,,,88 min
5110,tt2157168,Germany,,,,,
5111,tt2159662,USA,,,,,17 min
5112,tt2160265,Brazil,"$80,000",,,,78 min
5113,tt2161435,USA,"$15,000",,,,
5114,tt2167931,USA,"$124,000",,,,57 min
5115,tt2168766,USA,,,,,
5116,tt2168904,USA,,,,,87 min
5117,tt2169326,Mexico,,,,"$508,139",
5118,tt2170242,USA,,"$29,144,","$173,819","$173,819",98 min
5119,tt2172038,Italy,,,,,
5120,tt2172079,USA,"$125,000",,,,82 min
5121,tt2172913,Mexico,"MXN2,000,000",,,,
5122,tt2173256,Canada,"CAD700,000",,,,
5123,tt2174023,Singapore,,,,,48 min
5124,tt2174207,Italy,,,,,65 min
5125,tt2175672,India,,,,,165 min
5126,tt2176798,Argentina,,,,,75 min
5127,tt2176988,USA,,,,,86 min
5128,tt2177368,USA,,,,,76 min
5129,tt2177509,Spain,"EUR40,000",,,"$119,298",70 min
5130,tt2177511,Italy,,,"$76,908","$1,567,339",77 min
5131,tt2177668,USA,,,,,133 min
5132,tt2177751,USA,,,,,
5133,tt2177827,France,"$25,000,000",,,"$434,957",135 min
5134,tt2179027,USA,,,,,82 min
5135,tt2179093,France,,,,,90 min
5136,tt2179177,Venezuela,,,,,
5137,tt2180473,Germany,,,,"$66,708",82 min
5138,tt2180497,USA,"$500,000",,,,
5139,tt2180696,Norway,"$500,000",,,,
5140,tt2181865,India,,,,,91 min
5141,tt2181917,Montenegro,,,,,94 min
5142,tt2182294,USA,,,,,110 min
5143,tt2183958,UK,GBP565,,,,63 min
5144,tt2184295,Russia,"$65,000",,,,84 min
5145,tt2185702,Canada,,,,,113 min
5146,tt2187115,Romania,"EUR850,000","$12,955,","$97,170","$994,126",112 min
5147,tt2188967,USA,,,,,95 min
5148,tt2190232,Hong Kong,,,,,92 min
5149,tt2190256,India,"INR50,000,000",,,,130 min
5150,tt2191655,USA,,,,,
5151,tt2191701,USA,"$80,000,000","$41,508,572,","$133,668,525","$246,984,278",101 min
5152,tt2194760,USA,,,,,46 min
5153,tt2195652,Canada,,,,,89 min
5154,tt2196023,USA,,,,,100 min
5155,tt2196055,USA,,"$8,000,","$40,169","$40,169",78 min
5156,tt2197492,USA,,,,,95 min
5157,tt2198191,USA,"$150,000",,,,
5158,tt2198956,USA,"$700,000",,,,104 min
5159,tt2199436,Bulgaria,"BGL3,000,000",,,"$9,888",107 min
5160,tt2199735,USA,,,,,250 min
5161,tt2201216,Hungary,"HUF9,100,000",,,,65 min
5162,tt2201962,Austria,,,,,
5163,tt2202190,Norway,"NOK200,000",,,,104 min
5164,tt2202589,Philippines,,,,,90 min
5165,tt2203946,UK,"GBP3,000",,,,120 min
5166,tt2204218,USA,,,,,65 min
5167,tt2205625,Mexico,"$1,000,000",,,,
5168,tt2207032,USA,,,,,88 min
5169,tt2207433,Italy,,,,,
5170,tt2211191,Philippines,,,,"$3,704,457",106 min
5171,tt2211454,Russia,,,,,128 min
5172,tt2213924,USA,"$60,000",,,,57 min
5173,tt2215097,USA,"$500,000",,,,
5174,tt2215466,Japan,,,,"$232,007",
5175,tt2217238,Austria,,,,,
5176,tt2217390,Spain,"EUR45,000",,,,110 min
5177,tt2219246,USA,"$25,000",,,,84 min
5178,tt2221506,South Africa,,,,,96 min
5179,tt2221619,USA,,,,,
5180,tt2224139,Argentina,,,,,
5181,tt2224289,UK,"CHF1,000,000",,,,90 min
5182,tt2224816,USA,,,,,56 min
5183,tt2228000,USA,"$2,000,000",,,,90 min
5184,tt2231167,France,,,,,79 min
5185,tt2231377,Canada,CAD450,,,,110 min
5186,tt2231692,Latvia,,,,,80 min
5187,tt2231730,Hong Kong,,,,,107 min
5188,tt2232452,USA,"$1,000,000",,,,75 min
5189,tt2232656,UK,,,,,89 min
5190,tt2233292,USA,,,,,49 min
5191,tt2233762,UK,,,,,93 min
5192,tt2235463,Turkey,,,,,90 min
5193,tt2237008,USA,,,,,120 min
5194,tt2238742,India,"GBP500,000",,,,135 min
5195,tt2243381,USA,"$500,000",,,,108 min
5196,tt2243469,Spain,"EUR1,600,000",,,"$119,440",80 min
5197,tt2244594,Philippines,"PHP2,000,000",,,,90 min
5198,tt2244658,Australia,,,,,37 min
5199,tt2246829,New Zealand,,,,"$10,065,676",92 min
5200,tt2246856,USA,,,,,58 min
5201,tt2249143,USA,,,,,105 min
5202,tt2249498,UK,,,,,80 min
5203,tt2251020,Taiwan,,,,,93 min
5204,tt2251281,USA,,,,,90 min
5205,tt2251375,Iran,,,,,72 min
5206,tt2251666,Germany,"EUR330,000",,,"$58,941",99 min
5207,tt2252680,Spain,"EUR7,500,000",,,"$4,237,812",95 min
5208,tt2254017,USA,,,,,13 min
5209,tt2254246,Germany,,,,,56 min
5210,tt2254352,USA,,,,,90 min
5211,tt2254552,USA,,,,,82 min
5212,tt2255869,USA,,,,,75 min
5213,tt2257308,Turkey,,,,,63 min
5214,tt2258289,Croatia,"EUR80,000",,,,92 min
5215,tt2258345,USA,,"$180,801,","$3,769,873","$22,706,304",90 min
5216,tt2259306,UK,,,,,123 min
5217,tt2259858,USA,,,,,93 min
5218,tt2260920,USA,"$5,000",,,,74 min
5219,tt2261655,USA,,,,,50 min
5220,tt2262007,USA,,,,,46 min
5221,tt2262482,Switzerland,,,,,80 min
5222,tt2262562,USA,,,,,
5223,tt2263712,UK,,,,,88 min
5224,tt2265088,USA,,,,,80 min
5225,tt2265191,India,,,,,
5226,tt2265493,India,,,,,138 min
5227,tt2265630,UK,"GBP10,000",,,,102 min
5228,tt2267432,USA,"$1,500",,,,118 min
5229,tt2267526,USA,,,,,65 min
5230,tt2267542,France,,,,,85 min
5231,tt2267998,USA,"$61,000,000","$37,513,109,","$167,767,189","$369,330,363",149 min
5232,tt2270370,Croatia,,,,,92 min
5233,tt2271409,Brazil,,,,,84 min
5234,tt2271441,Russia,,,,,45 min
5235,tt2271641,India,,"$129,044,","$213,476","$213,476",160 min
5236,tt2272362,USA,"$25,000",,,,58 min
5237,tt2272388,USA,"$25,000",,,,120 min
5238,tt2273261,Norway,,,,,57 min
5239,tt2811824,Australia,,,,,72 min
5240,tt2813968,USA,"$14,000",,,,82 min
5241,tt2814846,Japan,,,,,
5242,tt2815412,UK,"GBP14,000",,,,
