primary_title,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,start_year,runtime_minutes,genres,averagerating,numvotes,director,Profit,Adventure,Drama,Musical,Romance,War,Action,Animation,Fantasy,Thriller,Music,Mystery,Comedy,Biography,History,Sport,Crime,Documentary,Sci-Fi,Horror,Family,Western
Miss You Like Crazy,Philippines,0,0,0,3183529,2010,126.0,"['Drama', 'Romance']",5.4,142.0,Cathy Garcia-Molina,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kolysanka,Poland,0,0,0,1240743,2010,95.0,"['Comedy', 'Horror']",6.1,895.0,Juliusz Machulski,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Vares: The Path of the Righteous Men,Finland,1638000,0,0,1145111,2012,93.0,"['Crime', 'Drama', 'Thriller']",5.9,795.0,Anders Engström,-492889,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Balls to the Wall,USA,0,3140,3140,3140,2011,85.0,['Comedy'],3.8,450.0,Penelope Spheeris,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mausam,India,0,459024,728316,1473341,2011,161.0,"['Drama', 'Romance', 'War']",4.8,4906.0,Pankaj Kapur,0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Los Marziano,Argentina,0,0,0,1099767,2011,82.0,"['Comedy', 'Drama']",5.5,370.0,Ana Katz,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hands Up,France,0,0,0,508012,2010,90.0,['Drama'],6.2,271.0,Romain Goupil,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Detective Conan: The Lost Ship in the Sky,Japan,0,0,0,36407407,2010,103.0,"['Action', 'Adventure', 'Animation']",7.0,1109.0,Yasuichirô Yamamoto,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cut Bank,USA,5000000,0,0,288591,2014,93.0,"['Crime', 'Drama', 'Thriller']",6.1,9611.0,Matt Shakman,-4711409,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Mitti,India,0,0,0,6103,2010,150.0,['Drama'],8.4,62.0,Jatinder Mauhar,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
La vérité si je mens! 3,France,30420000,0,0,40928635,2012,112.0,['Comedy'],5.2,1521.0,Thomas Gilou,10508635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wild Bill,UK,0,0,0,194099,2011,98.0,['Drama'],7.2,11331.0,Dexter Fletcher,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beyond the Border,Sweden,0,0,0,240761,2011,122.0,"['Action', 'Drama', 'War']",6.3,1384.0,Richard Holm,0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
From Up on Poppy Hill,Japan,22000000,57585,1002895,61459425,2011,91.0,"['Animation', 'Drama', 'Family']",7.5,26531.0,Gorô Miyazaki,39459425,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Baby Shower,Chile,900000,0,0,111351,2011,100.0,['Horror'],4.4,604.0,Pablo Illanes,-788649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Fun chin see oi,Hong Kong,0,0,0,1072505,2010,85.0,"['Comedy', 'Drama', 'Romance']",5.1,133.0,Patrick Kong,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitro Circus: The Movie,USA,0,1183701,3377618,4174269,2012,92.0,"['Action', 'Comedy', 'Documentary']",6.7,5712.0,,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Brasil Animado,Brazil,0,0,0,428280,2011,78.0,['Animation'],5.3,74.0,Mariana Caltabiano,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Winter's Tale,USA,60000000,7297694,12600231,30800231,2014,118.0,"['Drama', 'Fantasy', 'Mystery']",6.2,49077.0,Akiva Goldsman,-29199769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Finger,Argentina,0,0,0,63492,2011,93.0,['Comedy'],6.3,222.0,Sergio Teubal,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rest in Peace,Austria,0,0,0,25645,2010,92.0,['Documentary'],7.6,14.0,Andrea Morgenthaler,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Bollywood: The Greatest Love Story Ever Told,India,0,0,0,6118,2011,81.0,['Documentary'],6.3,105.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
La sombra del sol,Spain,0,0,0,1587,2011,109.0,['NaN'],6.0,7.0,David Blanco,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Deepwater Horizon,Hong Kong,110000000,20223544,61433527,121790373,2016,107.0,"['Action', 'Drama', 'History']",7.1,133303.0,Peter Berg,11790373,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fuga de cerebros 2,Spain,0,0,0,7030376,2011,106.0,"['Comedy', 'Romance']",4.6,811.0,Carlos Therón,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brutal Box,Spain,0,0,0,9295,2011,101.0,['Thriller'],4.4,42.0,Óscar Rojo,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samka,Russia,0,0,0,16643,2011,,['NaN'],5.8,91.0,Grigoriy Konstantinopolskiy,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AniMen: Triton Force,China,0,0,0,395220,2010,90.0,"['Adventure', 'Animation', 'Sci-Fi']",4.7,224.0,Xu Kerr,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Me Late Chocolate,Mexico,0,0,0,1630053,2013,100.0,"['Comedy', 'Drama', 'Romance']",5.2,607.0,Joaquín Bissner,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8E88 Fan Lanla,Thailand,0,0,0,220859,2010,95.0,['Comedy'],6.3,12.0,Viroj Thongsiew,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mr. Zhai,China,0,0,0,1755,2011,100.0,"['Comedy', 'Romance']",3.0,22.0,,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lucky Them,USA,0,3728,48995,48995,2013,97.0,['Drama'],6.1,2844.0,Megan Griffiths,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Night Market Hero,Taiwan,2000000,0,0,3889,2011,124.0,['Comedy'],5.5,309.0,Tien-Lun Yeh,-1996111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kaiji 2: Jinsei dakkai gêmu,Japan,0,0,0,19971259,2011,,['Drama'],6.6,526.0,Tôya Satô,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Yamada: Samurai of Ayothaya,Thailand,3000000,0,0,279415,2010,100.0,"['Action', 'Drama', 'History']",6.0,1196.0,Nopporn Watin,-2720585,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stanley Ka Dabba,India,0,0,0,204593,2011,96.0,"['Comedy', 'Drama', 'Family']",7.9,5097.0,Amole Gupte,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
The Hunter,Russia,0,0,0,10705,2011,124.0,['Drama'],5.7,111.0,Bakur Bakuradze,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Letters to Santa,Poland,0,0,0,26923513,2011,110.0,"['Comedy', 'Romance']",7.2,3362.0,Mitja Okorn,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dollhouse,Ireland,0,0,0,14469,2012,95.0,['Drama'],4.9,376.0,Kirsten Sheridan,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Declaration of War,France,0,12791,59100,7691610,2011,100.0,['Drama'],7.0,4743.0,Valérie Donzelli,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
