,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
6855,tt2288894,USA,,,,,96 min
6856,tt2290371,France,,,,,93 min
6857,tt2292196,USA,,,,,74 min
6858,tt2292885,Israel,,,,,62 min
6859,tt2292939,Norway,,,,,28 min
6860,tt2292959,USA,"$250,000","$13,351,","$56,825","$270,185",99 min
6861,tt2294629,USA,"$150,000,000","$243,390,","$400,738,009","$1,280,803,377",102 min
6862,tt2294765,USA,,,,,10 min
6863,tt2294861,Netherlands,EUR500,,,,65 min
6864,tt2294916,USA,"$50,000",,,,81 min
6865,tt2294927,France,,,,,88 min
6866,tt2294939,Belgium,,,,"$212,245",97 min
6867,tt2294963,USA,,,,,80 min
6868,tt2298307,Canada,"CAD1,500,000",,,,94 min
6869,tt2298527,USA,,,,,72 min
6870,tt2301041,Japan,,,,,
6871,tt2301592,Chile,"$3,000,000","$24,768,","$293,680","$558,636",133 min
6872,tt2302739,Germany,,,,,88 min
6873,tt2302969,UK,"GBP625,000",,,,80 min
6874,tt2304549,USA,,,,,
6875,tt2304583,USA,,"$5,701,","$38,492","$38,492",78 min
6876,tt2304655,India,"INR300,000,000",,,,153 min
6877,tt2304693,USA,,,,,27 min
6878,tt2304794,USA,,,,,88 min
6879,tt2306647,USA,"$20,000",,,,60 min
6880,tt2308811,India,,,,,70 min
6881,tt2308829,India,,,,,
6882,tt2308906,Germany,,,,,
6883,tt2308985,India,,,,,52 min
6884,tt2309000,USA,"$12,000",,,,95 min
6885,tt2309648,USA,,,,,
6886,tt2310964,India,,,,,117 min
6887,tt2311348,Spain,,,,"$1,426,349",105 min
6888,tt2311944,Argentina,,,,,84 min
6889,tt2311948,USA,"$60,000",,,,90 min
6890,tt2312602,USA,,,,,96 min
6891,tt2312606,USA,,,,,60 min
6892,tt2312612,Australia,,,,,63 min
6893,tt2313211,Belgium,,,,,82 min
6894,tt2313221,USA,,,,,108 min
6895,tt2313896,USA,,"$16,768,","$34,768","$34,768",116 min
6896,tt2314624,Philippines,,,,,80 min
6897,tt2314808,UK,"GBP15,000",,,,75 min
6898,tt2315874,Germany,"EUR10,000",,,,86 min
6899,tt2315974,Argentina,"ARS1,200,000",,,"$4,110",99 min
6900,tt2316110,Finland,,,,,8 min
6901,tt2316564,Indonesia,,,,,79 min
6902,tt2316735,USA,"$100,000",,,,93 min
6903,tt2317153,Colombia,,,,,90 min
6904,tt2317696,Brazil,,,,"$43,585",92 min
6905,tt2318397,Switzerland,,,,,85 min
6906,tt2318579,Colombia,,,,,88 min
6907,tt2318669,USA,,,,,108 min
6908,tt2318773,Israel,"ILS800,000",,,,90 min
6909,tt2319947,USA,,,,,86 min
6910,tt2321455,USA,"$28,000",,,,120 min
6911,tt2321513,India,"INR25,000,000",,,,103 min
6912,tt2322392,USA,"$10,000",,,,61 min
6913,tt2322420,Turkey,,,,"$1,867,540",119 min
6914,tt2325507,India,"INR8,500,000",,,,221 min
6915,tt2325991,Canada,"$15,000",,,,100 min
6916,tt2326270,Canada,,,,,75 min
6917,tt2326886,USA,,,,,65 min
6918,tt2328529,Ukraine,"$2,000,000",,,,120 min
6919,tt2328679,USA,,,,,74 min
6920,tt2328839,Japan,,,,,99 min
6921,tt2328900,UK,"$25,000,000","$194,777,","$16,468,499","$46,712,809",124 min
6922,tt2330144,Poland,,,,,
6923,tt2331053,USA,,,,,93 min
6924,tt2332514,France,"EUR62,000",,,,91 min
6925,tt2332522,UK,,"$10,000,","$76,202","$96,778",87 min
6926,tt2332623,USA,,,,,100 min
6927,tt2332799,USA,"$26,000",,,,67 min
6928,tt2333262,Japan,,,,,113 min
6929,tt2334779,Germany,,,,,109 min
6930,tt2337893,Austria,"EUR15,500",,,,48 min
6931,tt2338138,USA,,,,,85 min
6932,tt2338864,Germany,,,,"$611,939",91 min
6933,tt2339124,UK,GBP500,,,,
6934,tt2339583,Chile,"$150,000",,,,45 min
6935,tt2341414,USA,,,,,86 min
6936,tt2342135,Germany,,,,,22 min
6937,tt2343466,USA,"$15,000",,,,
6938,tt2343509,UK,"GBP20,000",,,,52 min
6939,tt2345527,Canada,,,,,75 min
6940,tt2346354,China,"CNY5,000,000",,,"$334,195",80 min
6941,tt2347174,USA,,,,,75 min
6942,tt2347479,USA,,,,,68 min
6943,tt2347495,Thailand,,,,,172 min
6944,tt2349144,USA,"$6,000,000","$12,434,","$130,541","$422,746",108 min
6945,tt2349865,USA,"$2,000",,,,
6946,tt2350374,USA,,,,,94 min
6947,tt2350676,Spain,"EUR5,000",,,,95 min
6948,tt2351098,USA,,"$5,650,","$19,480","$19,480",83 min
6949,tt2354119,Germany,,,,,81 min
6950,tt2354395,UK,"GBP25,000",,,,82 min
6951,tt2355765,India,,,,,
6952,tt2355924,USA,"$50,000",,,,
6953,tt2356408,France,,,,,90 min
6954,tt2356418,France,,,,,68 min
6955,tt2356876,USA,"$5,000",,,,
6956,tt2356975,Australia,,,,,86 min
6957,tt2357225,Spain,,,,,82 min
6958,tt2357916,USA,,,,,
6959,tt2358452,USA,,,,,
6960,tt2358883,Germany,"EUR20,000",,,,
6961,tt2358937,Germany,,,,,75 min
6962,tt2359656,Canada,,,,,111 min
6963,tt2359668,France,,,,"$289,143",108 min
6964,tt2361116,India,"INR10,000,000",,,,101 min
6965,tt2361420,Japan,,,,,
6966,tt2363070,USA,,,,,86 min
6967,tt2363255,India,,,,,120 min
6968,tt2363457,Australia,,,,,60 min
6969,tt2363535,Turkey,,,,$640,89 min
6970,tt2363870,USA,"$45,000",,,,88 min
6971,tt2364366,Brazil,,,,"$3,876",78 min
6972,tt2364997,USA,"$500,000",,,,75 min
6973,tt2367670,Switzerland,"EUR15,000",,,,53 min
6974,tt2368525,Spain,,,,"$571,096",96 min
6975,tt2368654,France,,,,,109 min
6976,tt2368701,UK,"GBP100,000",,,,83 min
6977,tt2369015,Italy,,,,,90 min
6978,tt2369275,USA,"$500,000",,,,80 min
6979,tt2369409,USA,"$280,000",,,,
6980,tt2371264,France,,,,"$1,136",90 min
6981,tt2371407,France,,,,,55 min
6982,tt2372112,USA,,,,,85 min
6983,tt2374831,USA,,,,,97 min
6984,tt2375382,India,"INR3,500,000",,,,87 min
6985,tt2375906,USA,"$1,000,000",,,,100 min
6986,tt2376252,India,,,,,50 min
6987,tt2376660,USA,,,,,
6988,tt2378077,Japan,,,,,111 min
6989,tt2378553,USA,,,,,
6990,tt2378581,USA,,,,,
6991,tt2378585,USA,"$235,000",,,,85 min
